온실가스배출량,성별,나이,OTT이용여부,OTT서비스1순위,OTT서비스2순위,OTT서비스3순위,OTT컨텐츠1순위,OTT컨텐츠2순위,OTT컨텐츠3순위,OTT매체1순위,OTT매체2순위,OTT매체3순위,이용빈도,1회이용시간,OTT서비스결제유형,최근3개월유료결제이용여부,스마트폰데이터무제한요금제가입여부,타블렛PC보유여부
0.11405583,2,16,1,2, , ,1,7, ,1,4, ,6,90,1,2,2,2
0.03801861,1,15,1,10,2, ,6,7,1,1,3, ,3,30,1,2,2,1
0.03801861,1,68,1,10, , ,5, , ,1, , ,2,30,1,2,2,2
0.03801861,2,64,1,10, , ,6, , ,1, , ,2,30,1,2,2,2
0.30414888,1,45,1,8,10,4,4,5,1,5,1,3,5,60,3,1,1,1
0.07603722,2,44,1,10,8,9,5,6,3,1,2,3,5,60,1,2,1,1
0.07603722,1,16,1,10, , ,6,1,7,1,3,5,5,60,3,1,2,1
0.22811166,2,13,1,8,9, ,6,5,4,1,2,3,1,180,1,2,1,1
0.02534574,1,52,1,10,6, ,5,4,7,1, , ,1,20,1,2,1,2
0.03801861,2,48,1,10, , ,6,1, ,1, , ,3,30,1,2,2,2
0.15207444,2,25,1,10,12,8,4,5,7,1,2, ,1,120,3,1,2,1
0.07603722,1,23,1,10, , ,6, , ,1,4, ,1,60,1,2,2,2
0.019009305,2,57,1,10, , ,1,6, ,1, , ,4,15,1,2,2,2
0.11405583,1,32,1,10,1,9,6,1,3,1,3, ,2,90,1,2,2,2
0.07603722,2,30,1,10,1,2,5,6,1,1,3, ,2,60,1,2,2,2
0.07603722,2,60,1,10, , ,6,7, ,1, , ,2,60,1,2,2,2
0.07603722,1,27,1,10,1,2,6,7,3,1,3, ,2,60,1,2,1,1
0.03801861,1,50,1,10, , ,6,1, ,1, , ,4,30,1,2,2,2
0.03801861,2,47,1,10, , ,6,1, ,1, , ,3,30,1,2,2,2
0.03801861,1,16,1,10, , ,6,1, ,1, , ,2,30,1,2,2,2
0.03801861,1,46,1,10, , ,6,1, ,1, , ,4,30,1,2,2,2
0.07603722,2,44,1,10, , ,6,1, ,1, , ,4,60,1,2,2,2
0.03801861,1,43,1,10, , ,6,1, ,1, , ,3,30,1,2,2,2
