연도,지자체,상수도 사용량
2018,대구 중구,1935267
2019,대전 대덕구,1463447
2018,대전 대덕구,1451225
2017,대전 대덕구,2275866
2019,대전 동구,1339688
2018,대전 동구,1312605
2017,대전 동구,1477547
2017,대전 서구,7075703.17
2019,대전 서구,6787539.64
2018,대전 서구,6669477.7
2019,대전 유성구,3166488
2017,대전 유성구,3426623
2018,대전 유성구,3146505.7
2018,대전 중구,1944627
2017,대전 중구,2139765
2019,대전 중구,1957122
2019,부산 강서구,392803
2017,부산 강서구,400723158
2018,부산 강서구,542722
2019,부산 금정구,722377
2017,부산 금정구,1123517
2018,부산 금정구,844312.2
2019,부산 기장군,255538.72
2017,부산 기장군,282488.4
2018,부산 기장군,275811.92
2019,부산 남구,603728
2018,부산 남구,795414
2017,부산 남구,1135337
2019,부산 동구,1052910
2018,부산 동구,1093676
2017,부산 동구,2042310
2019,부산 동래구,913613
2018,부산 동래구,858776
2017,부산 동래구,1292368
2019,부산 부산진구,1698269
2018,부산 부산진구,1893271.7
2017,부산 부산진구,2245242
2019,부산 북구,1054152
2018,부산 북구,1025881
2017,부산 북구,1018479
2017,부산 사상구,1295539
2019,부산 사상구,1324904
2018,부산 사상구,1233976
2017,부산 사하구,1836542
2019,부산 사하구,1571922
2018,부산 사하구,1559964
2019,부산 서구,293672
2018,부산 서구,472175
2017,부산 서구,663571
2018,부산 수영구,4648885.5
2017,부산 수영구,6826645
2019,부산 수영구,4337369
2018,부산 연제구,698464
2017,부산 연제구,1029049
2019,부산 연제구,723481
2019,부산 영도구,724275
2018,부산 영도구,708371
2017,부산 영도구,893500
2019,부산 중구,81749
2017,부산 중구,75430
2018,부산 중구,81946
2017,부산 해운대구,2182517
2019,부산 해운대구,1860812
2018,부산 해운대구,1843745
2019,세종 세종시,630903.29
2018,세종 세종시,590680.92
2017,세종 세종시,487924.41
2018,울산 남구,1922504.7
2017,울산 남구,1318348
2019,울산 남구,1188606.7
2019,울산 동구,1223918
2017,울산 동구,1192650
2018,울산 동구,1182964.3
2017,울산 북구,1185325
2019,울산 북구,1150353
2018,울산 북구,1249643
2019,울산 울주군,1763295
2018,울산 울주군,1757780
2017,울산 울주군,1137346
2019,울산 중구,918964
2017,울산 중구,680062
2018,울산 중구,939365
2018,인천 강화군,34170
2017,인천 강화군,47086
2019,인천 강화군,33006
2019,인천 계양구,2321232
2018,인천 계양구,2231533.6
2017,인천 계양구,2289658.359
2019,인천 남동구,3154715.29
2018,인천 남동구,3069429.22
2017,인천 남동구,3146783.08
2019,인천 동구,576151
2018,인천 동구,594156
2017,인천 동구,497031
2019,인천 미추홀구,2642217.3
2018,인천 미추홀구,2509196.4
2017,인천 미추홀구,1737797
2018,인천 부평구,2059497.862
2017,인천 부평구,1873936.1
2019,인천 부평구,2647110.1
2019,인천 서구,3434544.42
2018,인천 서구,3164074.57
2017,인천 서구,4156092.5
2019,인천 연수구,3442514.03
2017,인천 연수구,2837064.34
2018,인천 연수구,3341611.89
2019,인천 옹진군,2837
2019,인천 중구,269747.92
2018,인천 중구,248833.08
2017,인천 중구,236653.72
2019,전남 강진군,41032
2017,전남 강진군,38620
2018,전남 강진군,42492
2019,전남 고흥군,6355
2018,전남 고흥군,6446
2017,전남 고흥군,6661
2018,전남 곡성군,542
2017,전남 곡성군,596
2019,전남 곡성군,742
2018,전남 광양시,1720489
2017,전남 광양시,1454632
2019,전남 광양시,1432721
2019,전남 구례군,26187
2017,전남 구례군,24909
2018,전남 구례군,24788
2019,전남 나주시,194857.22
2017,전남 나주시,143987.82
2018,전남 나주시,178377.18
2018,전남 담양군,8217
2017,전남 담양군,7140
2019,전남 담양군,12585
2019,전남 목포시,1713101
2017,전남 목포시,1606942
2018,전남 목포시,1689474
2018,전남 무안군,138489
2017,전남 무안군,125337
2019,전남 무안군,151364
2019,전남 보성군,35504
2017,전남 보성군,32233
2018,전남 보성군,37515
2019,전남 순천시,4008133
2017,전남 순천시,4010841
2018,전남 순천시,4037111
2019,전남 여수시,1260261
2018,전남 여수시,1188666
2017,전남 여수시,1116288
2018,전남 영광군,496311
2017,전남 영광군,478405
2019,전남 영광군,449760
2019,전남 영암군,104176
2018,전남 영암군,111128
2017,전남 영암군,77969
2019,전남 완도군,37695
2017,전남 완도군,23666
2018,전남 완도군,39856
2019,전남 장성군,33306
2018,전남 장성군,34128
2017,전남 장성군,30506
2018,전남 장흥군,24674
2017,전남 장흥군,15985
2019,전남 장흥군,26174
2019,전남 진도군,2749
2018,전남 진도군,2094
2019,전남 함평군,47165
2018,전남 함평군,47418
2017,전남 함평군,33616
2019,전남 해남군,18542
2018,전남 해남군,17922
2017,전남 해남군,10996
2019,전남 화순군,178873
2017,전남 화순군,216417
2018,전남 화순군,179849
2019,전북 고창군,165215
2018,전북 고창군,162594
2017,전북 고창군,159679
2019,전북 군산시,3292845
2017,전북 군산시,3333682.7
2018,전북 군산시,3205760.2
2018,전북 김제시,355501
2017,전북 김제시,325617
2019,전북 김제시,370530
2019,전북 남원시,1486610.2
2018,전북 남원시,1384337
2017,전북 남원시,1265660
2018,전북 무주군,32632
2017,전북 무주군,28059
2019,전북 무주군,33007
2017,전북 부안군,126230.03
2019,전북 부안군,134184
2018,전북 부안군,128021
2019,전북 순창군,68872
2017,전북 순창군,407655
2018,전북 순창군,67734
2018,전북 완주군,576447
2017,전북 완주군,574832
2019,전북 완주군,569598
2019,전북 익산시,3064212
2018,전북 익산시,8613126
2017,전북 익산시,2471514
2019,전북 임실군,50908
2017,전북 임실군,64558
2018,전북 임실군,58698
2018,전북 장수군,269138
2017,전북 장수군,75297
2019,전북 장수군,254018
2019,전북 전주시,3880505
2018,전북 전주시,3944084
2017,전북 전주시,4067585
2019,전북 정읍시,709584
2018,전북 정읍시,1536830
2017,전북 정읍시,1565001
2019,전북 진안군,47939
2018,전북 진안군,68385
2017,전북 진안군,157153
2018,제주 서귀포시,692865.9
2017,제주 서귀포시,307800.2
2019,제주 서귀포시,1745826
2019,제주 제주시,3437470.91
2018,제주 제주시,3144332.14
2017,제주 제주시,2471489.1
2017,충남 계룡시,242336
2019,충남 계룡시,254681
2018,충남 계룡시,255725
2019,충남 공주시,433008
2018,충남 공주시,401436
2017,충남 공주시,363208
2017,충남 금산군,28625
2019,충남 금산군,34584
2018,충남 금산군,32816
2017,충남 논산시,71938
2019,충남 논산시,99355
2018,충남 논산시,91288
2018,충남 당진시,413546
2017,충남 당진시,365601
2019,충남 당진시,419580
2019,충남 보령시,385487
2018,충남 보령시,378636
2017,충남 보령시,369857
2018,충남 부여군,36436
2017,충남 부여군,35924
2019,충남 부여군,39696
2019,충남 서산시,335158
2018,충남 서산시,311558
2017,충남 서산시,293604
2018,충남 서천군,96043
2017,충남 서천군,90093
2019,충남 서천군,97573
2018,충남 아산시,1345492.825
2017,충남 아산시,2332938
2019,충남 아산시,1096117.136
2019,충남 예산군,119814
2018,충남 예산군,112387
2017,충남 예산군,97463
2019,충남 천안시,4569793.7
2018,충남 천안시,4551839.7
2017,충남 천안시,4463907
2017,충남 청양군,48970
2019,충남 청양군,50089
2018,충남 청양군,50765
2019,충남 태안군,20905
2018,충남 태안군,19364
2017,충남 태안군,18679
2017,충남 홍성군,247652.3
2019,충남 홍성군,159899.9
2018,충남 홍성군,143173.5
2019,충북 괴산군,8251
2018,충북 괴산군,4678
2017,충북 괴산군,3714
2019,충북 단양군,77682
2017,충북 단양군,56486
2018,충북 단양군,77647
2018,충북 보은군,1658
2017,충북 보은군,1647
2019,충북 보은군,1914
2019,충북 영동군,33038
2018,충북 영동군,32440
2017,충북 영동군,25616
2019,충북 옥천군,106724
2018,충북 옥천군,98172
2017,충북 옥천군,89149
2017,충북 음성군,186200
2019,충북 음성군,204283
2018,충북 음성군,189789
2019,충북 제천시,559390
2017,충북 제천시,546334
2018,충북 제천시,557365
2019,충북 증평군,262411
2018,충북 증평군,281468
2017,충북 증평군,265943
2018,충북 진천군,222597
2017,충북 진천군,190319
2019,충북 진천군,248619
2018,충북 청주시,1551176
2017,충북 청주시,1393151
2019,충북 청주시,1588965
2019,충북 충주시,558658
2017,충북 충주시,459060
2018,충북 충주시,476466
